iter	Passed	Remaining
0	10	9178
1	19	8368
2	28	8327
3	38	8273
4	45	7905
5	53	7606
6	59	7293
7	66	7110
8	72	6867
9	78	6706
10	85	6613
11	91	6514
12	97	6423
13	105	6393
14	111	6310
15	118	6277
16	125	6260
17	131	6186
18	137	6110
19	144	6104
20	150	6051
21	156	6009
22	163	5978
23	170	5980
24	176	5946
25	183	5918
26	189	5881
27	195	5849
28	203	5866
29	208	5822
30	215	5815
31	223	5818
32	229	5787
33	235	5760
34	242	5751
35	251	5791
36	257	5779
37	265	5775
38	272	5770
39	278	5748
40	286	5765
41	293	5751
42	300	5758
43	308	5754
44	316	5771
45	325	5794
46	337	5875
47	348	5940
48	360	6008
49	370	6046
50	381	6095
51	389	6091
52	395	6071
53	402	6049
54	410	6048
55	420	6075
56	426	6057
57	433	6045
58	441	6039
59	449	6036
60	455	6009
61	463	6012
62	470	5994
63	477	5985
64	483	5956
65	490	5943
66	498	5940
67	504	5919
68	511	5913
69	518	5900
70	529	5926
71	537	5924
72	544	5918
73	553	5924
74	562	5934
75	574	5966
76	585	5998
77	594	6009
78	602	6004
79	610	6000
80	617	5987
81	625	5983
82	633	5977
83	639	5958
84	646	5937
85	653	5924
86	660	5917
87	667	5901
88	673	5881
89	680	5866
90	689	5872
91	696	5863
92	704	5858
93	712	5851
94	718	5832
95	724	5813
96	732	5804
97	742	5814
98	749	5806
99	757	5801
100	764	5793
101	772	5787
102	779	5774
103	785	5757
104	792	5744
105	800	5740
106	806	5719
107	814	5713
108	824	5723
109	831	5716
110	839	5708
111	848	5711
112	857	5711
113	863	5693
114	869	5676
115	877	5675
116	886	5672
117	892	5658
118	900	5655
119	909	5652
120	916	5644
121	925	5641
122	933	5641
123	940	5629
124	948	5622
125	956	5619
126	963	5606
127	969	5589
128	977	5582
129	986	5585
130	994	5580
131	1002	5575
132	1010	5568
133	1018	5564
134	1025	5550
135	1033	5546
136	1039	5531
137	1047	5526
138	1056	5527
139	1065	5525
140	1073	5517
141	1079	5504
142	1087	5498
143	1099	5512
144	1112	5530
145	1121	5530
146	1131	5535
147	1143	5549
148	1156	5565
149	1164	5560
150	1172	5551
151	1181	5549
152	1187	5533
153	1196	5530
154	1203	5519
155	1211	5511
156	1217	5500
157	1225	5490
158	1234	5487
159	1241	5476
160	1249	5472
161	1256	5458
162	1263	5450
163	1270	5439
164	1279	5437
165	1287	5429
166	1293	5414
167	1302	5409
168	1311	5407
169	1318	5399
170	1327	5393
171	1335	5387
172	1344	5384
173	1351	5375
174	1358	5362
175	1367	5360
176	1375	5354
177	1381	5341
178	1389	5333
179	1398	5331
180	1406	5322
181	1416	5321
182	1425	5318
183	1431	5304
184	1438	5293
185	1445	5286
186	1451	5272
187	1460	5266
188	1467	5255
189	1476	5251
190	1482	5238
191	1489	5228
192	1497	5221
193	1506	5219
194	1514	5211
195	1522	5203
196	1529	5192
197	1538	5190
198	1552	5202
199	1563	5206
200	1570	5197
201	1578	5189
202	1589	5190
203	1596	5182
204	1603	5171
205	1610	5159
206	1617	5149
207	1624	5139
208	1632	5131
209	1641	5126
210	1647	5115
211	1655	5106
212	1662	5097
213	1671	5091
214	1677	5079
215	1686	5076
216	1693	5065
217	1701	5056
218	1708	5048
219	1719	5048
220	1725	5035
221	1734	5032
222	1742	5023
223	1752	5021
224	1759	5012
225	1766	5001
226	1772	4989
227	1780	4981
228	1787	4971
229	1795	4964
230	1804	4961
231	1814	4959
232	1823	4954
233	1832	4949
234	1844	4952
235	1856	4955
236	1864	4947
237	1872	4940
238	1881	4937
239	1888	4926
240	1896	4917
241	1904	4911
242	1916	4914
243	1926	4910
244	1934	4903
245	1941	4892
246	1947	4881
247	1955	4872
248	1965	4869
249	1971	4856
250	1980	4852
251	1987	4842
252	1995	4835
253	2002	4825
254	2009	4814
255	2016	4804
256	2024	4797
257	2032	4790
258	2042	4786
259	2050	4778
260	2059	4774
261	2067	4767
262	2077	4762
263	2084	4754
264	2092	4746
265	2101	4739
266	2111	4736
267	2118	4727
268	2127	4722
269	2134	4711
270	2141	4701
271	2149	4693
272	2158	4688
273	2165	4677
274	2172	4668
275	2179	4659
276	2187	4650
277	2193	4639
278	2200	4630
279	2210	4625
280	2217	4617
281	2227	4612
282	2235	4604
283	2242	4596
284	2249	4585
285	2256	4576
286	2262	4564
287	2270	4555
288	2277	4547
289	2285	4539
290	2292	4530
291	2301	4524
292	2308	4514
293	2315	4505
294	2324	4499
295	2331	4489
296	2337	4479
297	2344	4469
298	2352	4460
299	2360	4454
300	2370	4449
301	2377	4440
302	2384	4430
303	2394	4427
304	2403	4421
305	2409	4409
306	2416	4399
307	2424	4392
308	2432	4385
309	2441	4378
310	2449	4371
311	2455	4360
312	2462	4350
313	2471	4344
314	2479	4337
315	2488	4330
316	2495	4322
317	2503	4314
318	2511	4306
319	2523	4305
320	2536	4307
321	2549	4306
322	2561	4305
323	2572	4302
324	2582	4299
325	2596	4300
326	2605	4294
327	2618	4295
328	2628	4290
329	2636	4283
330	2647	4278
331	2657	4274
332	2668	4270
333	2675	4261
334	2681	4250
335	2692	4247
336	2704	4245
337	2714	4239
338	2722	4232
339	2734	4229
340	2745	4227
341	2756	4222
342	2765	4216
343	2776	4213
344	2786	4207
345	2796	4203
346	2805	4196
347	2817	4194
348	2826	4187
349	2837	4183
350	2846	4176
351	2857	4173
352	2866	4165
353	2874	4157
354	2887	4155
355	2896	4150
356	2904	4141
357	2911	4130
358	2917	4120
359	2925	4111
360	2932	4101
361	2939	4092
362	2946	4082
363	2953	4072
364	2961	4065
365	2969	4056
366	2976	4047
367	2983	4037
368	2991	4029
369	2997	4018
370	3006	4010
371	3013	4001
372	3020	3992
373	3027	3983
374	3034	3973
375	3041	3964
376	3049	3955
377	3058	3948
378	3066	3939
379	3072	3929
380	3079	3919
381	3088	3913
382	3095	3903
383	3105	3897
384	3113	3890
385	3119	3879
386	3126	3869
387	3133	3860
388	3140	3850
389	3148	3842
390	3156	3834
391	3162	3824
392	3169	3814
393	3176	3805
394	3184	3797
395	3192	3789
396	3200	3780
397	3207	3772
398	3213	3761
399	3222	3753
400	3229	3745
401	3238	3737
402	3245	3729
403	3253	3721
404	3261	3712
405	3269	3704
406	3276	3694
407	3284	3687
408	3290	3677
409	3298	3668
410	3305	3659
411	3314	3652
412	3327	3650
413	3339	3646
414	3351	3641
415	3361	3635
416	3372	3631
417	3384	3627
418	3392	3619
419	3403	3614
420	3410	3605
421	3417	3595
422	3426	3588
423	3434	3580
424	3441	3571
425	3450	3563
426	3456	3553
427	3463	3544
428	3471	3536
429	3480	3529
430	3486	3519
431	3495	3511
432	3505	3505
433	3516	3499
434	3523	3491
435	3531	3482
436	3538	3473
437	3545	3464
438	3553	3456
439	3563	3449
440	3570	3440
441	3578	3432
442	3584	3422
443	3594	3416
444	3601	3406
445	3608	3397
446	3615	3389
447	3623	3381
448	3631	3372
449	3641	3365
450	3648	3356
451	3655	3348
452	3663	3340
453	3670	3331
454	3679	3323
455	3685	3314
456	3695	3306
457	3702	3297
458	3710	3290
459	3718	3282
460	3726	3273
461	3732	3264
462	3742	3257
463	3749	3248
464	3757	3240
465	3764	3231
466	3772	3222
467	3778	3213
468	3786	3205
469	3793	3196
470	3800	3187
471	3808	3179
472	3815	3170
473	3822	3161
474	3828	3151
475	3838	3144
476	3846	3136
477	3854	3128
478	3864	3122
479	3873	3114
480	3880	3105
481	3891	3100
482	3898	3091
483	3907	3083
484	3916	3076
485	3924	3068
486	3931	3059
487	3940	3052
488	3947	3043
489	3954	3034
490	3962	3026
491	3971	3018
492	3977	3009
493	3984	3000
494	3993	2992
495	4002	2985
496	4014	2980
497	4026	2975
498	4037	2969
499	4047	2962
500	4058	2957
501	4068	2950
502	4078	2943
503	4088	2936
504	4094	2926
505	4101	2918
506	4109	2910
507	4117	2901
508	4123	2892
509	4136	2887
510	4143	2878
511	4150	2869
512	4157	2861
513	4167	2853
514	4177	2847
515	4185	2838
516	4192	2830
517	4200	2821
518	4207	2813
519	4218	2806
520	4225	2797
521	4232	2789
522	4238	2779
523	4247	2772
524	4255	2764
525	4263	2755
526	4269	2746
527	4277	2738
528	4285	2729
529	4294	2722
530	4302	2714
531	4309	2705
532	4315	2696
533	4323	2688
534	4331	2679
535	4336	2670
536	4344	2661
537	4354	2654
538	4363	2647
539	4373	2640
540	4382	2632
541	4389	2623
542	4395	2614
543	4404	2606
544	4412	2598
545	4419	2590
546	4426	2581
547	4436	2574
548	4443	2565
549	4450	2557
550	4460	2550
551	4467	2541
552	4475	2532
553	4487	2527
554	4496	2519
555	4505	2511
556	4513	2503
557	4520	2495
558	4529	2487
559	4535	2478
560	4543	2470
561	4550	2461
562	4558	2453
563	4566	2445
564	4574	2437
565	4583	2429
566	4589	2420
567	4596	2411
568	4603	2403
569	4610	2394
570	4620	2387
571	4628	2379
572	4635	2370
573	4642	2361
574	4652	2354
575	4660	2346
576	4668	2338
577	4677	2330
578	4687	2323
579	4695	2315
580	4704	2307
581	4710	2298
582	4716	2289
583	4724	2281
584	4733	2273
585	4743	2266
586	4756	2260
587	4767	2253
588	4777	2246
589	4786	2238
590	4793	2230
591	4802	2222
592	4809	2214
593	4818	2206
594	4826	2198
595	4834	2189
596	4840	2181
597	4846	2172
598	4854	2163
599	4860	2154
600	4869	2147
601	4875	2138
602	4883	2129
603	4891	2121
604	4900	2114
605	4909	2106
606	4918	2098
607	4925	2090
608	4933	2081
609	4939	2073
610	4949	2065
611	4956	2057
612	4963	2048
613	4971	2040
614	4979	2032
615	4987	2024
616	4994	2015
617	5001	2006
618	5010	1999
619	5019	1991
620	5027	1983
621	5035	1975
622	5042	1966
623	5050	1958
624	5057	1950
625	5066	1942
626	5073	1933
627	5079	1925
628	5086	1916
629	5094	1908
630	5099	1899
631	5109	1891
632	5117	1883
633	5123	1875
634	5129	1866
635	5138	1858
636	5145	1849
637	5152	1841
638	5158	1832
639	5166	1824
640	5173	1815
641	5182	1808
642	5191	1800
643	5198	1792
644	5209	1784
645	5217	1776
646	5227	1769
647	5235	1761
648	5244	1753
649	5251	1745
650	5259	1736
651	5266	1728
652	5273	1720
653	5280	1711
654	5289	1704
655	5296	1695
656	5305	1687
657	5312	1679
658	5319	1671
659	5327	1662
660	5335	1654
661	5343	1646
662	5354	1639
663	5364	1631
664	5370	1623
665	5378	1615
666	5388	1607
667	5394	1599
668	5401	1590
669	5409	1582
670	5415	1573
671	5422	1565
672	5428	1556
673	5438	1549
674	5444	1540
675	5456	1533
676	5466	1526
677	5472	1517
678	5479	1509
679	5487	1500
680	5495	1492
681	5508	1486
682	5522	1479
683	5532	1472
684	5542	1464
